Product ID,Category ,Sub-Category
PROD000341,Sessional Fruits & Vegetables,Tomatoes
PROD000342,Fast Food,Fries
PROD000343,Sessional Fruits & Vegetables,Mangoes
PROD000344,Household Items,Mops
PROD000345,Household Items,Mops
PROD000346,Fast Food,Fries
PROD000347,Electric Appliances,Refrigerators
PROD000348,Dairy Products,Milk
PROD000349,Household Items,Detergents
PROD000350,Electric Appliances,Microwaves
PROD000351,Furniture,Sofas
PROD000352,Sessional Fruits & Vegetables,Mangoes
PROD000353,Electric Appliances,Fans
PROD000354,Electric Appliances,Washing Machines
PROD000355,Dairy Products,Yogurt
PROD000356,Dairy Products,Milk
PROD000357,Furniture,Sofas
PROD000358,Dairy Products,Yogurt
PROD000359,Furniture,Sofas
PROD000360,Fast Food,Fries
PROD000361,Furniture,Chairs
PROD000362,Household Items,Mops
PROD000363,Furniture,Chairs
PROD000364,Electric Appliances,Fans
PROD000365,Dairy Products,Butter
PROD000366,Furniture,Tables
PROD000367,Fast Food,Fries
PROD000368,Furniture,Sofas
PROD000369,Sessional Fruits & Vegetables,Tomatoes
PROD000370,Furniture,Beds
PROD000371,Electric Appliances,Refrigerators
PROD000372,Sessional Fruits & Vegetables,Carrots
PROD000373,Sessional Fruits & Vegetables,Mangoes
PROD000374,Household Items,Utensils
PROD000375,Dairy Products,Butter
PROD000376,Household Items,Detergents
PROD000377,Electric Appliances,Fans
PROD000378,Electric Appliances,Fans
PROD000379,Sessional Fruits & Vegetables,Tomatoes
PROD000380,Dairy Products,Yogurt
PROD000381,Electric Appliances,Fans
PROD000382,Furniture,Tables
PROD000383,Dairy Products,Butter
PROD000384,Sessional Fruits & Vegetables,Carrots
PROD000385,Dairy Products,Cheese
PROD000386,Dairy Products,Yogurt
PROD000387,Household Items,Buckets
PROD000388,Household Items,Buckets
PROD000389,Electric Appliances,Microwaves
PROD000390,Electric Appliances,Fans
PROD000391,Fast Food,Fries
PROD000392,Household Items,Utensils
PROD000393,Furniture,Tables
PROD000394,Household Items,Detergents
PROD000395,Household Items,Buckets
PROD000396,Furniture,Beds
PROD000397,Furniture,Chairs
PROD000398,Household Items,Mops
PROD000399,Household Items,Buckets
PROD000400,Electric Appliances,Fans
PROD000401,Electric Appliances,Washing Machines
PROD000402,Fast Food,Sandwiches
PROD000403,Sessional Fruits & Vegetables,Apples
PROD000404,Furniture,Tables
PROD000405,Household Items,Mops
PROD000406,Electric Appliances,Fans
PROD000407,Electric Appliances,Microwaves
PROD000408,Fast Food,Burgers
PROD000409,Dairy Products,Cheese
PROD000410,Electric Appliances,Microwaves
PROD000411,Furniture,Tables
PROD000412,Household Items,Mops
PROD000413,Electric Appliances,Microwaves
PROD000414,Fast Food,Fries
PROD000415,Dairy Products,Cheese
PROD000416,Sessional Fruits & Vegetables,Apples
PROD000417,Electric Appliances,Fans
PROD000418,Dairy Products,Cheese
PROD000419,Sessional Fruits & Vegetables,Carrots
PROD000420,Sessional Fruits & Vegetables,Apples
PROD000421,Household Items,Detergents
PROD000422,Electric Appliances,Microwaves
PROD000423,Furniture,Tables
PROD000424,Electric Appliances,Microwaves
PROD000425,Sessional Fruits & Vegetables,Carrots
PROD000426,Household Items,Buckets
PROD000427,Household Items,Detergents
PROD000428,Sessional Fruits & Vegetables,Carrots
PROD000429,Sessional Fruits & Vegetables,Carrots
PROD000430,Fast Food,Burgers
PROD000431,Furniture,Tables
PROD000432,Sessional Fruits & Vegetables,Mangoes
PROD000433,Fast Food,Fries
PROD000434,Fast Food,Fries
PROD000435,Furniture,Beds
PROD000436,Sessional Fruits & Vegetables,Mangoes
PROD000437,Household Items,Buckets
PROD000438,Sessional Fruits & Vegetables,Apples
PROD000439,Furniture,Beds
PROD000440,Furniture,Beds
PROD000441,Fast Food,Sandwiches
PROD000442,Sessional Fruits & Vegetables,Tomatoes
PROD000443,Sessional Fruits & Vegetables,Mangoes
PROD000444,Sessional Fruits & Vegetables,Mangoes
PROD000445,Fast Food,Pizzas
PROD000446,Electric Appliances,Washing Machines
PROD000447,Sessional Fruits & Vegetables,Apples
PROD000448,Dairy Products,Milk
PROD000449,Fast Food,Pizzas
PROD000450,Sessional Fruits & Vegetables,Apples
PROD000451,Electric Appliances,Microwaves
PROD000452,Electric Appliances,Washing Machines
PROD000453,Electric Appliances,Microwaves
PROD000454,Sessional Fruits & Vegetables,Mangoes
PROD000455,Furniture,Chairs
PROD000456,Furniture,Beds
PROD000457,Household Items,Detergents
PROD000458,Fast Food,Pizzas
PROD000459,Sessional Fruits & Vegetables,Apples
PROD000460,Household Items,Mops
PROD000461,Household Items,Buckets
PROD000462,Electric Appliances,Washing Machines
PROD000463,Household Items,Mops
PROD000464,Dairy Products,Yogurt
PROD000465,Dairy Products,Yogurt
PROD000466,Furniture,Sofas
PROD000467,Fast Food,Pizzas
PROD000468,Household Items,Detergents
PROD000469,Furniture,Sofas
PROD000470,Dairy Products,Cheese
PROD000471,Furniture,Tables
PROD000472,Furniture,Chairs
PROD000473,Household Items,Detergents
PROD000474,Electric Appliances,Microwaves
PROD000475,Furniture,Tables
PROD000476,Dairy Products,Milk
PROD000477,Fast Food,Sandwiches
PROD000478,Fast Food,Sandwiches
PROD000479,Furniture,Tables
PROD000480,Furniture,Chairs
PROD000481,Fast Food,Sandwiches
PROD000482,Fast Food,Burgers
PROD000483,Household Items,Utensils
PROD000484,Electric Appliances,Fans
PROD000485,Furniture,Chairs
PROD000486,Fast Food,Sandwiches
PROD000487,Fast Food,Sandwiches
PROD000488,Dairy Products,Butter
PROD000489,Household Items,Utensils
PROD000490,Fast Food,Pizzas
PROD000491,Electric Appliances,Fans
PROD000492,Household Items,Utensils
PROD000493,Dairy Products,Milk
PROD000494,Dairy Products,Butter
PROD000495,Furniture,Chairs
PROD000496,Dairy Products,Butter
PROD000497,Dairy Products,Butter
PROD000498,Sessional Fruits & Vegetables,Tomatoes
PROD000499,Furniture,Tables
PROD000500,Household Items,Buckets
PROD000501,Electric Appliances,Refrigerators
PROD000502,Fast Food,Burgers
PROD000503,Household Items,Utensils
PROD000504,Fast Food,Pizzas
PROD000505,Sessional Fruits & Vegetables,Carrots
PROD000506,Sessional Fruits & Vegetables,Apples
PROD000507,Sessional Fruits & Vegetables,Mangoes
PROD000508,Dairy Products,Butter
PROD000509,Electric Appliances,Fans
PROD000510,Electric Appliances,Microwaves
PROD000511,Sessional Fruits & Vegetables,Tomatoes
PROD000512,Sessional Fruits & Vegetables,Carrots
PROD000513,Dairy Products,Milk
PROD000514,Furniture,Beds
PROD000515,Sessional Fruits & Vegetables,Mangoes
PROD000516,Dairy Products,Milk
PROD000517,Dairy Products,Butter
PROD000518,Electric Appliances,Washing Machines
PROD000519,Sessional Fruits & Vegetables,Mangoes
PROD000520,Dairy Products,Yogurt
PROD000521,Electric Appliances,Refrigerators
PROD000522,Fast Food,Sandwiches
PROD000523,Household Items,Buckets
PROD000524,Fast Food,Pizzas
PROD000525,Sessional Fruits & Vegetables,Apples
PROD000526,Household Items,Mops
PROD000527,Electric Appliances,Washing Machines
PROD000528,Dairy Products,Milk
PROD000529,Fast Food,Sandwiches
PROD000530,Electric Appliances,Fans
PROD000531,Fast Food,Fries
PROD000532,Furniture,Chairs
PROD000533,Household Items,Utensils
PROD000534,Electric Appliances,Washing Machines
PROD000535,Furniture,Sofas
PROD000536,Fast Food,Burgers
PROD000537,Household Items,Mops
PROD000538,Dairy Products,Milk
PROD000539,Sessional Fruits & Vegetables,Tomatoes
PROD000540,Furniture,Tables
PROD000541,Furniture,Sofas
PROD000542,Sessional Fruits & Vegetables,Tomatoes
PROD000543,Fast Food,Pizzas
PROD000544,Sessional Fruits & Vegetables,Tomatoes
PROD000545,Dairy Products,Butter
PROD000546,Sessional Fruits & Vegetables,Mangoes
PROD000547,Electric Appliances,Refrigerators
PROD000548,Furniture,Sofas
PROD000549,Fast Food,Fries
PROD000550,Electric Appliances,Fans
PROD000551,Household Items,Detergents
PROD000552,Household Items,Mops
PROD000553,Fast Food,Pizzas
PROD000554,Sessional Fruits & Vegetables,Carrots
PROD000555,Household Items,Utensils
PROD000556,Furniture,Sofas
PROD000557,Furniture,Beds
PROD000558,Fast Food,Sandwiches
PROD000559,Dairy Products,Butter
PROD000560,Dairy Products,Butter
PROD000561,Fast Food,Fries
PROD000562,Fast Food,Fries
PROD000563,Fast Food,Burgers
PROD000564,Fast Food,Burgers
PROD000565,Sessional Fruits & Vegetables,Mangoes
PROD000566,Sessional Fruits & Vegetables,Apples
PROD000567,Electric Appliances,Refrigerators
PROD000568,Dairy Products,Butter
PROD000569,Furniture,Sofas
PROD000570,Electric Appliances,Washing Machines
PROD000571,Furniture,Tables
PROD000572,Fast Food,Fries
PROD000573,Fast Food,Fries
PROD000574,Furniture,Beds
PROD000575,Furniture,Tables
PROD000576,Electric Appliances,Refrigerators
PROD000577,Sessional Fruits & Vegetables,Tomatoes
PROD000578,Furniture,Sofas
PROD000579,Household Items,Mops
PROD000580,Fast Food,Pizzas
PROD000581,Fast Food,Fries
PROD000582,Dairy Products,Butter
PROD000583,Sessional Fruits & Vegetables,Apples
PROD000584,Sessional Fruits & Vegetables,Mangoes
PROD000585,Electric Appliances,Refrigerators
PROD000586,Electric Appliances,Microwaves
PROD000587,Electric Appliances,Fans
PROD000588,Electric Appliances,Washing Machines
PROD000589,Furniture,Tables
PROD000590,Sessional Fruits & Vegetables,Mangoes
PROD000591,Household Items,Detergents
PROD000592,Fast Food,Burgers
PROD000593,Household Items,Buckets
PROD000594,Dairy Products,Milk
PROD000595,Electric Appliances,Fans
PROD000596,Sessional Fruits & Vegetables,Tomatoes
PROD000597,Household Items,Buckets
PROD000598,Fast Food,Fries
PROD000599,Dairy Products,Yogurt
PROD000600,Sessional Fruits & Vegetables,Carrots
PROD000601,Household Items,Utensils
PROD000602,Dairy Products,Cheese
PROD000603,Sessional Fruits & Vegetables,Tomatoes
PROD000604,Sessional Fruits & Vegetables,Apples
PROD000605,Household Items,Detergents
PROD000606,Sessional Fruits & Vegetables,Apples
PROD000607,Dairy Products,Cheese
PROD000608,Furniture,Beds
PROD000609,Household Items,Utensils
PROD000610,Electric Appliances,Microwaves
PROD000611,Dairy Products,Butter
PROD000612,Sessional Fruits & Vegetables,Mangoes
PROD000613,Fast Food,Fries
PROD000614,Fast Food,Sandwiches
PROD000615,Dairy Products,Milk
PROD000616,Furniture,Tables
PROD000617,Electric Appliances,Refrigerators
PROD000618,Furniture,Tables
PROD000619,Fast Food,Burgers
PROD000620,Sessional Fruits & Vegetables,Apples
PROD000621,Sessional Fruits & Vegetables,Apples
PROD000622,Dairy Products,Cheese
PROD000623,Furniture,Chairs
PROD000624,Dairy Products,Milk
PROD000625,Fast Food,Burgers
PROD000626,Dairy Products,Milk
PROD000627,Furniture,Tables
PROD000628,Sessional Fruits & Vegetables,Tomatoes
PROD000629,Furniture,Beds
PROD000630,Household Items,Buckets
PROD000631,Furniture,Chairs
PROD000632,Furniture,Chairs
PROD000633,Furniture,Tables
PROD000634,Fast Food,Sandwiches
PROD000635,Sessional Fruits & Vegetables,Mangoes
PROD000636,Electric Appliances,Fans
PROD000637,Fast Food,Burgers
PROD000638,Electric Appliances,Fans
PROD000639,Furniture,Sofas
PROD000640,Dairy Products,Cheese
PROD000641,Household Items,Mops
PROD000642,Furniture,Beds
PROD000643,Fast Food,Sandwiches
PROD000644,Electric Appliances,Refrigerators
PROD000645,Fast Food,Sandwiches
PROD000646,Fast Food,Burgers
PROD000647,Furniture,Sofas
PROD000648,Household Items,Buckets
PROD000649,Dairy Products,Yogurt
PROD000650,Sessional Fruits & Vegetables,Tomatoes
PROD000651,Sessional Fruits & Vegetables,Mangoes
PROD000652,Dairy Products,Yogurt
PROD000653,Dairy Products,Milk
PROD000654,Household Items,Mops
PROD000655,Household Items,Buckets
PROD000656,Household Items,Detergents
PROD000657,Electric Appliances,Refrigerators
PROD000658,Sessional Fruits & Vegetables,Carrots
PROD000659,Furniture,Sofas
PROD000660,Household Items,Mops
PROD000661,Sessional Fruits & Vegetables,Apples
PROD000662,Electric Appliances,Refrigerators
PROD000663,Sessional Fruits & Vegetables,Mangoes
PROD000664,Electric Appliances,Refrigerators
PROD000665,Furniture,Sofas
PROD000666,Fast Food,Burgers
PROD000667,Furniture,Sofas
PROD000668,Fast Food,Pizzas
PROD000669,Household Items,Buckets
PROD000670,Sessional Fruits & Vegetables,Tomatoes
PROD000671,Fast Food,Fries
PROD000672,Household Items,Detergents
PROD000673,Fast Food,Pizzas
PROD000674,Household Items,Utensils
PROD000675,Fast Food,Pizzas
PROD000676,Dairy Products,Cheese
PROD000677,Electric Appliances,Washing Machines
PROD000678,Fast Food,Sandwiches
PROD000679,Sessional Fruits & Vegetables,Apples
PROD000680,Fast Food,Fries
PROD000681,Household Items,Detergents
PROD000682,Household Items,Buckets
PROD000683,Furniture,Tables
PROD000684,Fast Food,Sandwiches
PROD000685,Household Items,Utensils
PROD000686,Dairy Products,Yogurt
PROD000687,Dairy Products,Milk
PROD000688,Furniture,Tables
PROD000689,Household Items,Detergents
PROD000690,Household Items,Buckets
PROD000691,Furniture,Sofas
PROD000692,Household Items,Buckets
PROD000693,Dairy Products,Cheese
PROD000694,Electric Appliances,Refrigerators
PROD000695,Sessional Fruits & Vegetables,Tomatoes
PROD000696,Electric Appliances,Washing Machines
PROD000697,Electric Appliances,Refrigerators
PROD000698,Household Items,Detergents
PROD000699,Dairy Products,Butter
PROD000700,Electric Appliances,Refrigerators
PROD000701,Household Items,Buckets
PROD000702,Electric Appliances,Refrigerators
PROD000703,Electric Appliances,Refrigerators
PROD000704,Household Items,Utensils
PROD000705,Electric Appliances,Washing Machines
PROD000706,Dairy Products,Yogurt
PROD000707,Household Items,Utensils
PROD000708,Furniture,Chairs
PROD000709,Sessional Fruits & Vegetables,Apples
PROD000710,Fast Food,Sandwiches
PROD000711,Furniture,Tables
PROD000712,Furniture,Chairs
PROD000713,Electric Appliances,Fans
PROD000714,Electric Appliances,Microwaves
PROD000715,Fast Food,Pizzas
PROD000716,Sessional Fruits & Vegetables,Tomatoes
PROD000717,Sessional Fruits & Vegetables,Tomatoes
PROD000718,Household Items,Detergents
PROD000719,Electric Appliances,Refrigerators
PROD000720,Household Items,Detergents
PROD000721,Sessional Fruits & Vegetables,Carrots
PROD000722,Dairy Products,Milk
PROD000723,Dairy Products,Cheese
PROD000724,Dairy Products,Cheese
PROD000725,Fast Food,Sandwiches
PROD000726,Fast Food,Pizzas
PROD000727,Furniture,Beds
PROD000728,Furniture,Sofas
PROD000729,Furniture,Beds
PROD000730,Sessional Fruits & Vegetables,Apples
PROD000731,Sessional Fruits & Vegetables,Apples
PROD000732,Sessional Fruits & Vegetables,Apples
PROD000733,Household Items,Detergents
PROD000734,Electric Appliances,Washing Machines
PROD000735,Household Items,Utensils
PROD000736,Electric Appliances,Washing Machines
PROD000737,Electric Appliances,Washing Machines
PROD000738,Sessional Fruits & Vegetables,Tomatoes
PROD000739,Household Items,Utensils
PROD000740,Dairy Products,Cheese
