Order Date,Month,Year,Quarter,Day_of_week
02-04-2019,4,2019,Q2,Tuesday
03-04-2019,4,2019,Q2,Wednesday
04-04-2019,4,2019,Q2,Thursday
05-04-2019,4,2019,Q2,Friday
06-04-2019,4,2019,Q2,Saturday
07-04-2019,4,2019,Q2,Sunday
08-04-2019,4,2019,Q2,Monday
09-04-2019,4,2019,Q2,Tuesday
10-04-2019,4,2019,Q2,Wednesday
11-04-2019,4,2019,Q2,Thursday
12-04-2019,4,2019,Q2,Friday
13-04-2019,4,2019,Q2,Saturday
14-04-2019,4,2019,Q2,Sunday
15-04-2019,4,2019,Q2,Monday
16-04-2019,4,2019,Q2,Tuesday
17-04-2019,4,2019,Q2,Wednesday
18-04-2019,4,2019,Q2,Thursday
19-04-2019,4,2019,Q2,Friday
20-04-2019,4,2019,Q2,Saturday
21-04-2019,4,2019,Q2,Sunday
22-04-2019,4,2019,Q2,Monday
23-04-2019,4,2019,Q2,Tuesday
24-04-2019,4,2019,Q2,Wednesday
25-04-2019,4,2019,Q2,Thursday
26-04-2019,4,2019,Q2,Friday
27-04-2019,4,2019,Q2,Saturday
28-04-2019,4,2019,Q2,Sunday
29-04-2019,4,2019,Q2,Monday
30-04-2019,4,2019,Q2,Tuesday
01-05-2019,5,2019,Q2,Wednesday
02-05-2019,5,2019,Q2,Thursday
03-05-2019,5,2019,Q2,Friday
04-05-2019,5,2019,Q2,Saturday
05-05-2019,5,2019,Q2,Sunday
06-05-2019,5,2019,Q2,Monday
07-05-2019,5,2019,Q2,Tuesday
08-05-2019,5,2019,Q2,Wednesday
09-05-2019,5,2019,Q2,Thursday
10-05-2019,5,2019,Q2,Friday
11-05-2019,5,2019,Q2,Saturday
12-05-2019,5,2019,Q2,Sunday
13-05-2019,5,2019,Q2,Monday
14-05-2019,5,2019,Q2,Tuesday
15-05-2019,5,2019,Q2,Wednesday
16-05-2019,5,2019,Q2,Thursday
17-05-2019,5,2019,Q2,Friday
18-05-2019,5,2019,Q2,Saturday
19-05-2019,5,2019,Q2,Sunday
20-05-2019,5,2019,Q2,Monday
21-05-2019,5,2019,Q2,Tuesday
22-05-2019,5,2019,Q2,Wednesday
23-05-2019,5,2019,Q2,Thursday
24-05-2019,5,2019,Q2,Friday
25-05-2019,5,2019,Q2,Saturday
26-05-2019,5,2019,Q2,Sunday
27-05-2019,5,2019,Q2,Monday
28-05-2019,5,2019,Q2,Tuesday
29-05-2019,5,2019,Q2,Wednesday
30-05-2019,5,2019,Q2,Thursday
31-05-2019,5,2019,Q2,Friday
01-06-2019,6,2019,Q2,Saturday
02-06-2019,6,2019,Q2,Sunday
03-06-2019,6,2019,Q2,Monday
04-06-2019,6,2019,Q2,Tuesday
05-06-2019,6,2019,Q2,Wednesday
06-06-2019,6,2019,Q2,Thursday
07-06-2019,6,2019,Q2,Friday
08-06-2019,6,2019,Q2,Saturday
09-06-2019,6,2019,Q2,Sunday
10-06-2019,6,2019,Q2,Monday
11-06-2019,6,2019,Q2,Tuesday
12-06-2019,6,2019,Q2,Wednesday
13-06-2019,6,2019,Q2,Thursday
14-06-2019,6,2019,Q2,Friday
15-06-2019,6,2019,Q2,Saturday
16-06-2019,6,2019,Q2,Sunday
17-06-2019,6,2019,Q2,Monday
18-06-2019,6,2019,Q2,Tuesday
19-06-2019,6,2019,Q2,Wednesday
20-06-2019,6,2019,Q2,Thursday
21-06-2019,6,2019,Q2,Friday
22-06-2019,6,2019,Q2,Saturday
23-06-2019,6,2019,Q2,Sunday
24-06-2019,6,2019,Q2,Monday
25-06-2019,6,2019,Q2,Tuesday
26-06-2019,6,2019,Q2,Wednesday
27-06-2019,6,2019,Q2,Thursday
28-06-2019,6,2019,Q2,Friday
29-06-2019,6,2019,Q2,Saturday
30-06-2019,6,2019,Q2,Sunday
01-07-2019,7,2019,Q3,Monday
02-07-2019,7,2019,Q3,Tuesday
03-07-2019,7,2019,Q3,Wednesday
04-07-2019,7,2019,Q3,Thursday
05-07-2019,7,2019,Q3,Friday
06-07-2019,7,2019,Q3,Saturday
07-07-2019,7,2019,Q3,Sunday
08-07-2019,7,2019,Q3,Monday
09-07-2019,7,2019,Q3,Tuesday
10-07-2019,7,2019,Q3,Wednesday
11-07-2019,7,2019,Q3,Thursday
12-07-2019,7,2019,Q3,Friday
13-07-2019,7,2019,Q3,Saturday
14-07-2019,7,2019,Q3,Sunday
15-07-2019,7,2019,Q3,Monday
16-07-2019,7,2019,Q3,Tuesday
17-07-2019,7,2019,Q3,Wednesday
18-07-2019,7,2019,Q3,Thursday
19-07-2019,7,2019,Q3,Friday
20-07-2019,7,2019,Q3,Saturday
21-07-2019,7,2019,Q3,Sunday
22-07-2019,7,2019,Q3,Monday
23-07-2019,7,2019,Q3,Tuesday
24-07-2019,7,2019,Q3,Wednesday
25-07-2019,7,2019,Q3,Thursday
26-07-2019,7,2019,Q3,Friday
27-07-2019,7,2019,Q3,Saturday
28-07-2019,7,2019,Q3,Sunday
29-07-2019,7,2019,Q3,Monday
30-07-2019,7,2019,Q3,Tuesday
31-07-2019,7,2019,Q3,Wednesday
01-08-2019,8,2019,Q3,Thursday
02-08-2019,8,2019,Q3,Friday
03-08-2019,8,2019,Q3,Saturday
04-08-2019,8,2019,Q3,Sunday
05-08-2019,8,2019,Q3,Monday
06-08-2019,8,2019,Q3,Tuesday
07-08-2019,8,2019,Q3,Wednesday
08-08-2019,8,2019,Q3,Thursday
09-08-2019,8,2019,Q3,Friday
10-08-2019,8,2019,Q3,Saturday
11-08-2019,8,2019,Q3,Sunday
12-08-2019,8,2019,Q3,Monday
13-08-2019,8,2019,Q3,Tuesday
14-08-2019,8,2019,Q3,Wednesday
15-08-2019,8,2019,Q3,Thursday
16-08-2019,8,2019,Q3,Friday
17-08-2019,8,2019,Q3,Saturday
18-08-2019,8,2019,Q3,Sunday
19-08-2019,8,2019,Q3,Monday
20-08-2019,8,2019,Q3,Tuesday
21-08-2019,8,2019,Q3,Wednesday
22-08-2019,8,2019,Q3,Thursday
23-08-2019,8,2019,Q3,Friday
24-08-2019,8,2019,Q3,Saturday
25-08-2019,8,2019,Q3,Sunday
26-08-2019,8,2019,Q3,Monday
27-08-2019,8,2019,Q3,Tuesday
28-08-2019,8,2019,Q3,Wednesday
29-08-2019,8,2019,Q3,Thursday
30-08-2019,8,2019,Q3,Friday
31-08-2019,8,2019,Q3,Saturday
01-09-2019,9,2019,Q3,Sunday
02-09-2019,9,2019,Q3,Monday
03-09-2019,9,2019,Q3,Tuesday
04-09-2019,9,2019,Q3,Wednesday
05-09-2019,9,2019,Q3,Thursday
06-09-2019,9,2019,Q3,Friday
07-09-2019,9,2019,Q3,Saturday
08-09-2019,9,2019,Q3,Sunday
09-09-2019,9,2019,Q3,Monday
10-09-2019,9,2019,Q3,Tuesday
11-09-2019,9,2019,Q3,Wednesday
12-09-2019,9,2019,Q3,Thursday
13-09-2019,9,2019,Q3,Friday
14-09-2019,9,2019,Q3,Saturday
15-09-2019,9,2019,Q3,Sunday
16-09-2019,9,2019,Q3,Monday
17-09-2019,9,2019,Q3,Tuesday
18-09-2019,9,2019,Q3,Wednesday
19-09-2019,9,2019,Q3,Thursday
20-09-2019,9,2019,Q3,Friday
21-09-2019,9,2019,Q3,Saturday
22-09-2019,9,2019,Q3,Sunday
23-09-2019,9,2019,Q3,Monday
24-09-2019,9,2019,Q3,Tuesday
25-09-2019,9,2019,Q3,Wednesday
26-09-2019,9,2019,Q3,Thursday
27-09-2019,9,2019,Q3,Friday
28-09-2019,9,2019,Q3,Saturday
29-09-2019,9,2019,Q3,Sunday
30-09-2019,9,2019,Q3,Monday
01-10-2019,10,2019,Q4,Tuesday
02-10-2019,10,2019,Q4,Wednesday
03-10-2019,10,2019,Q4,Thursday
04-10-2019,10,2019,Q4,Friday
05-10-2019,10,2019,Q4,Saturday
06-10-2019,10,2019,Q4,Sunday
07-10-2019,10,2019,Q4,Monday
08-10-2019,10,2019,Q4,Tuesday
09-10-2019,10,2019,Q4,Wednesday
10-10-2019,10,2019,Q4,Thursday
11-10-2019,10,2019,Q4,Friday
12-10-2019,10,2019,Q4,Saturday
13-10-2019,10,2019,Q4,Sunday
14-10-2019,10,2019,Q4,Monday
15-10-2019,10,2019,Q4,Tuesday
16-10-2019,10,2019,Q4,Wednesday
17-10-2019,10,2019,Q4,Thursday
18-10-2019,10,2019,Q4,Friday
19-10-2019,10,2019,Q4,Saturday
20-10-2019,10,2019,Q4,Sunday
21-10-2019,10,2019,Q4,Monday
22-10-2019,10,2019,Q4,Tuesday
23-10-2019,10,2019,Q4,Wednesday
24-10-2019,10,2019,Q4,Thursday
25-10-2019,10,2019,Q4,Friday
26-10-2019,10,2019,Q4,Saturday
27-10-2019,10,2019,Q4,Sunday
28-10-2019,10,2019,Q4,Monday
29-10-2019,10,2019,Q4,Tuesday
30-10-2019,10,2019,Q4,Wednesday
31-10-2019,10,2019,Q4,Thursday
01-11-2019,11,2019,Q4,Friday
02-11-2019,11,2019,Q4,Saturday
03-11-2019,11,2019,Q4,Sunday
04-11-2019,11,2019,Q4,Monday
05-11-2019,11,2019,Q4,Tuesday
06-11-2019,11,2019,Q4,Wednesday
07-11-2019,11,2019,Q4,Thursday
08-11-2019,11,2019,Q4,Friday
09-11-2019,11,2019,Q4,Saturday
10-11-2019,11,2019,Q4,Sunday
11-11-2019,11,2019,Q4,Monday
12-11-2019,11,2019,Q4,Tuesday
13-11-2019,11,2019,Q4,Wednesday
14-11-2019,11,2019,Q4,Thursday
15-11-2019,11,2019,Q4,Friday
16-11-2019,11,2019,Q4,Saturday
17-11-2019,11,2019,Q4,Sunday
18-11-2019,11,2019,Q4,Monday
19-11-2019,11,2019,Q4,Tuesday
20-11-2019,11,2019,Q4,Wednesday
21-11-2019,11,2019,Q4,Thursday
22-11-2019,11,2019,Q4,Friday
23-11-2019,11,2019,Q4,Saturday
24-11-2019,11,2019,Q4,Sunday
25-11-2019,11,2019,Q4,Monday
26-11-2019,11,2019,Q4,Tuesday
27-11-2019,11,2019,Q4,Wednesday
28-11-2019,11,2019,Q4,Thursday
29-11-2019,11,2019,Q4,Friday
30-11-2019,11,2019,Q4,Saturday
01-12-2019,12,2019,Q4,Sunday
02-12-2019,12,2019,Q4,Monday
03-12-2019,12,2019,Q4,Tuesday
04-12-2019,12,2019,Q4,Wednesday
05-12-2019,12,2019,Q4,Thursday
06-12-2019,12,2019,Q4,Friday
07-12-2019,12,2019,Q4,Saturday
08-12-2019,12,2019,Q4,Sunday
09-12-2019,12,2019,Q4,Monday
10-12-2019,12,2019,Q4,Tuesday
11-12-2019,12,2019,Q4,Wednesday
12-12-2019,12,2019,Q4,Thursday
13-12-2019,12,2019,Q4,Friday
14-12-2019,12,2019,Q4,Saturday
15-12-2019,12,2019,Q4,Sunday
16-12-2019,12,2019,Q4,Monday
17-12-2019,12,2019,Q4,Tuesday
18-12-2019,12,2019,Q4,Wednesday
19-12-2019,12,2019,Q4,Thursday
20-12-2019,12,2019,Q4,Friday
21-12-2019,12,2019,Q4,Saturday
22-12-2019,12,2019,Q4,Sunday
23-12-2019,12,2019,Q4,Monday
24-12-2019,12,2019,Q4,Tuesday
25-12-2019,12,2019,Q4,Wednesday
26-12-2019,12,2019,Q4,Thursday
27-12-2019,12,2019,Q4,Friday
28-12-2019,12,2019,Q4,Saturday
29-12-2019,12,2019,Q4,Sunday
30-12-2019,12,2019,Q4,Monday
31-12-2019,12,2019,Q4,Tuesday
01-01-2020,1,2020,Q1,Wednesday
02-01-2020,1,2020,Q1,Thursday
03-01-2020,1,2020,Q1,Friday
04-01-2020,1,2020,Q1,Saturday
05-01-2020,1,2020,Q1,Sunday
06-01-2020,1,2020,Q1,Monday
07-01-2020,1,2020,Q1,Tuesday
08-01-2020,1,2020,Q1,Wednesday
09-01-2020,1,2020,Q1,Thursday
10-01-2020,1,2020,Q1,Friday
11-01-2020,1,2020,Q1,Saturday
12-01-2020,1,2020,Q1,Sunday
13-01-2020,1,2020,Q1,Monday
14-01-2020,1,2020,Q1,Tuesday
15-01-2020,1,2020,Q1,Wednesday
16-01-2020,1,2020,Q1,Thursday
17-01-2020,1,2020,Q1,Friday
18-01-2020,1,2020,Q1,Saturday
19-01-2020,1,2020,Q1,Sunday
20-01-2020,1,2020,Q1,Monday
21-01-2020,1,2020,Q1,Tuesday
22-01-2020,1,2020,Q1,Wednesday
23-01-2020,1,2020,Q1,Thursday
24-01-2020,1,2020,Q1,Friday
25-01-2020,1,2020,Q1,Saturday
26-01-2020,1,2020,Q1,Sunday
27-01-2020,1,2020,Q1,Monday
28-01-2020,1,2020,Q1,Tuesday
29-01-2020,1,2020,Q1,Wednesday
30-01-2020,1,2020,Q1,Thursday
31-01-2020,1,2020,Q1,Friday
01-02-2020,2,2020,Q1,Saturday
02-02-2020,2,2020,Q1,Sunday
03-02-2020,2,2020,Q1,Monday
04-02-2020,2,2020,Q1,Tuesday
05-02-2020,2,2020,Q1,Wednesday
06-02-2020,2,2020,Q1,Thursday
07-02-2020,2,2020,Q1,Friday
08-02-2020,2,2020,Q1,Saturday
09-02-2020,2,2020,Q1,Sunday
10-02-2020,2,2020,Q1,Monday
11-02-2020,2,2020,Q1,Tuesday
12-02-2020,2,2020,Q1,Wednesday
13-02-2020,2,2020,Q1,Thursday
14-02-2020,2,2020,Q1,Friday
15-02-2020,2,2020,Q1,Saturday
16-02-2020,2,2020,Q1,Sunday
17-02-2020,2,2020,Q1,Monday
18-02-2020,2,2020,Q1,Tuesday
19-02-2020,2,2020,Q1,Wednesday
20-02-2020,2,2020,Q1,Thursday
21-02-2020,2,2020,Q1,Friday
22-02-2020,2,2020,Q1,Saturday
23-02-2020,2,2020,Q1,Sunday
24-02-2020,2,2020,Q1,Monday
25-02-2020,2,2020,Q1,Tuesday
26-02-2020,2,2020,Q1,Wednesday
27-02-2020,2,2020,Q1,Thursday
28-02-2020,2,2020,Q1,Friday
29-02-2020,2,2020,Q1,Saturday
01-03-2020,3,2020,Q1,Sunday
02-03-2020,3,2020,Q1,Monday
03-03-2020,3,2020,Q1,Tuesday
04-03-2020,3,2020,Q1,Wednesday
05-03-2020,3,2020,Q1,Thursday
06-03-2020,3,2020,Q1,Friday
07-03-2020,3,2020,Q1,Saturday
08-03-2020,3,2020,Q1,Sunday
09-03-2020,3,2020,Q1,Monday
10-03-2020,3,2020,Q1,Tuesday
11-03-2020,3,2020,Q1,Wednesday
12-03-2020,3,2020,Q1,Thursday
13-03-2020,3,2020,Q1,Friday
14-03-2020,3,2020,Q1,Saturday
15-03-2020,3,2020,Q1,Sunday
16-03-2020,3,2020,Q1,Monday
17-03-2020,3,2020,Q1,Tuesday
18-03-2020,3,2020,Q1,Wednesday
19-03-2020,3,2020,Q1,Thursday
20-03-2020,3,2020,Q1,Friday
21-03-2020,3,2020,Q1,Saturday
22-03-2020,3,2020,Q1,Sunday
23-03-2020,3,2020,Q1,Monday
24-03-2020,3,2020,Q1,Tuesday
25-03-2020,3,2020,Q1,Wednesday
26-03-2020,3,2020,Q1,Thursday
27-03-2020,3,2020,Q1,Friday
28-03-2020,3,2020,Q1,Saturday
29-03-2020,3,2020,Q1,Sunday
30-03-2020,3,2020,Q1,Monday
31-03-2020,3,2020,Q1,Tuesday
01-04-2020,4,2020,Q2,Wednesday
02-04-2020,4,2020,Q2,Thursday
03-04-2020,4,2020,Q2,Friday
04-04-2020,4,2020,Q2,Saturday
05-04-2020,4,2020,Q2,Sunday
06-04-2020,4,2020,Q2,Monday
07-04-2020,4,2020,Q2,Tuesday
08-04-2020,4,2020,Q2,Wednesday
09-04-2020,4,2020,Q2,Thursday
10-04-2020,4,2020,Q2,Friday
11-04-2020,4,2020,Q2,Saturday
12-04-2020,4,2020,Q2,Sunday
13-04-2020,4,2020,Q2,Monday
14-04-2020,4,2020,Q2,Tuesday
15-04-2020,4,2020,Q2,Wednesday
16-04-2020,4,2020,Q2,Thursday
17-04-2020,4,2020,Q2,Friday
18-04-2020,4,2020,Q2,Saturday
19-04-2020,4,2020,Q2,Sunday
20-04-2020,4,2020,Q2,Monday
21-04-2020,4,2020,Q2,Tuesday
22-04-2020,4,2020,Q2,Wednesday
23-04-2020,4,2020,Q2,Thursday
24-04-2020,4,2020,Q2,Friday
25-04-2020,4,2020,Q2,Saturday
26-04-2020,4,2020,Q2,Sunday
27-04-2020,4,2020,Q2,Monday
28-04-2020,4,2020,Q2,Tuesday
29-04-2020,4,2020,Q2,Wednesday
30-04-2020,4,2020,Q2,Thursday
01-05-2020,5,2020,Q2,Friday
02-05-2020,5,2020,Q2,Saturday
03-05-2020,5,2020,Q2,Sunday
04-05-2020,5,2020,Q2,Monday
05-05-2020,5,2020,Q2,Tuesday
06-05-2020,5,2020,Q2,Wednesday
07-05-2020,5,2020,Q2,Thursday
08-05-2020,5,2020,Q2,Friday
09-05-2020,5,2020,Q2,Saturday
10-05-2020,5,2020,Q2,Sunday
11-05-2020,5,2020,Q2,Monday
12-05-2020,5,2020,Q2,Tuesday
13-05-2020,5,2020,Q2,Wednesday
14-05-2020,5,2020,Q2,Thursday
15-05-2020,5,2020,Q2,Friday
16-05-2020,5,2020,Q2,Saturday
17-05-2020,5,2020,Q2,Sunday
18-05-2020,5,2020,Q2,Monday
19-05-2020,5,2020,Q2,Tuesday
20-05-2020,5,2020,Q2,Wednesday
21-05-2020,5,2020,Q2,Thursday
22-05-2020,5,2020,Q2,Friday
23-05-2020,5,2020,Q2,Saturday
24-05-2020,5,2020,Q2,Sunday
25-05-2020,5,2020,Q2,Monday
26-05-2020,5,2020,Q2,Tuesday
27-05-2020,5,2020,Q2,Wednesday
28-05-2020,5,2020,Q2,Thursday
29-05-2020,5,2020,Q2,Friday
30-05-2020,5,2020,Q2,Saturday
31-05-2020,5,2020,Q2,Sunday
01-06-2020,6,2020,Q2,Monday
02-06-2020,6,2020,Q2,Tuesday
03-06-2020,6,2020,Q2,Wednesday
04-06-2020,6,2020,Q2,Thursday
05-06-2020,6,2020,Q2,Friday
06-06-2020,6,2020,Q2,Saturday
07-06-2020,6,2020,Q2,Sunday
08-06-2020,6,2020,Q2,Monday
09-06-2020,6,2020,Q2,Tuesday
10-06-2020,6,2020,Q2,Wednesday
11-06-2020,6,2020,Q2,Thursday
12-06-2020,6,2020,Q2,Friday
13-06-2020,6,2020,Q2,Saturday
14-06-2020,6,2020,Q2,Sunday
15-06-2020,6,2020,Q2,Monday
16-06-2020,6,2020,Q2,Tuesday
17-06-2020,6,2020,Q2,Wednesday
18-06-2020,6,2020,Q2,Thursday
19-06-2020,6,2020,Q2,Friday
20-06-2020,6,2020,Q2,Saturday
21-06-2020,6,2020,Q2,Sunday
22-06-2020,6,2020,Q2,Monday
23-06-2020,6,2020,Q2,Tuesday
24-06-2020,6,2020,Q2,Wednesday
25-06-2020,6,2020,Q2,Thursday
26-06-2020,6,2020,Q2,Friday
27-06-2020,6,2020,Q2,Saturday
28-06-2020,6,2020,Q2,Sunday
29-06-2020,6,2020,Q2,Monday
30-06-2020,6,2020,Q2,Tuesday
01-07-2020,7,2020,Q3,Wednesday
02-07-2020,7,2020,Q3,Thursday
03-07-2020,7,2020,Q3,Friday
04-07-2020,7,2020,Q3,Saturday
05-07-2020,7,2020,Q3,Sunday
06-07-2020,7,2020,Q3,Monday
07-07-2020,7,2020,Q3,Tuesday
08-07-2020,7,2020,Q3,Wednesday
09-07-2020,7,2020,Q3,Thursday
10-07-2020,7,2020,Q3,Friday
11-07-2020,7,2020,Q3,Saturday
12-07-2020,7,2020,Q3,Sunday
13-07-2020,7,2020,Q3,Monday
14-07-2020,7,2020,Q3,Tuesday
15-07-2020,7,2020,Q3,Wednesday
16-07-2020,7,2020,Q3,Thursday
17-07-2020,7,2020,Q3,Friday
18-07-2020,7,2020,Q3,Saturday
19-07-2020,7,2020,Q3,Sunday
20-07-2020,7,2020,Q3,Monday
21-07-2020,7,2020,Q3,Tuesday
22-07-2020,7,2020,Q3,Wednesday
23-07-2020,7,2020,Q3,Thursday
24-07-2020,7,2020,Q3,Friday
25-07-2020,7,2020,Q3,Saturday
26-07-2020,7,2020,Q3,Sunday
27-07-2020,7,2020,Q3,Monday
28-07-2020,7,2020,Q3,Tuesday
29-07-2020,7,2020,Q3,Wednesday
30-07-2020,7,2020,Q3,Thursday
31-07-2020,7,2020,Q3,Friday
01-08-2020,8,2020,Q3,Saturday
02-08-2020,8,2020,Q3,Sunday
03-08-2020,8,2020,Q3,Monday
04-08-2020,8,2020,Q3,Tuesday
05-08-2020,8,2020,Q3,Wednesday
06-08-2020,8,2020,Q3,Thursday
07-08-2020,8,2020,Q3,Friday
08-08-2020,8,2020,Q3,Saturday
09-08-2020,8,2020,Q3,Sunday
10-08-2020,8,2020,Q3,Monday
11-08-2020,8,2020,Q3,Tuesday
12-08-2020,8,2020,Q3,Wednesday
13-08-2020,8,2020,Q3,Thursday
14-08-2020,8,2020,Q3,Friday
15-08-2020,8,2020,Q3,Saturday
16-08-2020,8,2020,Q3,Sunday
17-08-2020,8,2020,Q3,Monday
18-08-2020,8,2020,Q3,Tuesday
19-08-2020,8,2020,Q3,Wednesday
20-08-2020,8,2020,Q3,Thursday
21-08-2020,8,2020,Q3,Friday
22-08-2020,8,2020,Q3,Saturday
23-08-2020,8,2020,Q3,Sunday
24-08-2020,8,2020,Q3,Monday
25-08-2020,8,2020,Q3,Tuesday
26-08-2020,8,2020,Q3,Wednesday
27-08-2020,8,2020,Q3,Thursday
28-08-2020,8,2020,Q3,Friday
29-08-2020,8,2020,Q3,Saturday
30-08-2020,8,2020,Q3,Sunday
31-08-2020,8,2020,Q3,Monday
01-09-2020,9,2020,Q3,Tuesday
02-09-2020,9,2020,Q3,Wednesday
03-09-2020,9,2020,Q3,Thursday
04-09-2020,9,2020,Q3,Friday
05-09-2020,9,2020,Q3,Saturday
06-09-2020,9,2020,Q3,Sunday
07-09-2020,9,2020,Q3,Monday
08-09-2020,9,2020,Q3,Tuesday
09-09-2020,9,2020,Q3,Wednesday
10-09-2020,9,2020,Q3,Thursday
11-09-2020,9,2020,Q3,Friday
12-09-2020,9,2020,Q3,Saturday
13-09-2020,9,2020,Q3,Sunday
14-09-2020,9,2020,Q3,Monday
15-09-2020,9,2020,Q3,Tuesday
16-09-2020,9,2020,Q3,Wednesday
17-09-2020,9,2020,Q3,Thursday
18-09-2020,9,2020,Q3,Friday
19-09-2020,9,2020,Q3,Saturday
20-09-2020,9,2020,Q3,Sunday
21-09-2020,9,2020,Q3,Monday
22-09-2020,9,2020,Q3,Tuesday
23-09-2020,9,2020,Q3,Wednesday
24-09-2020,9,2020,Q3,Thursday
25-09-2020,9,2020,Q3,Friday
26-09-2020,9,2020,Q3,Saturday
27-09-2020,9,2020,Q3,Sunday
28-09-2020,9,2020,Q3,Monday
29-09-2020,9,2020,Q3,Tuesday
30-09-2020,9,2020,Q3,Wednesday
01-10-2020,10,2020,Q4,Thursday
02-10-2020,10,2020,Q4,Friday
03-10-2020,10,2020,Q4,Saturday
04-10-2020,10,2020,Q4,Sunday
05-10-2020,10,2020,Q4,Monday
06-10-2020,10,2020,Q4,Tuesday
07-10-2020,10,2020,Q4,Wednesday
08-10-2020,10,2020,Q4,Thursday
09-10-2020,10,2020,Q4,Friday
10-10-2020,10,2020,Q4,Saturday
11-10-2020,10,2020,Q4,Sunday
12-10-2020,10,2020,Q4,Monday
13-10-2020,10,2020,Q4,Tuesday
14-10-2020,10,2020,Q4,Wednesday
15-10-2020,10,2020,Q4,Thursday
16-10-2020,10,2020,Q4,Friday
17-10-2020,10,2020,Q4,Saturday
18-10-2020,10,2020,Q4,Sunday
19-10-2020,10,2020,Q4,Monday
20-10-2020,10,2020,Q4,Tuesday
21-10-2020,10,2020,Q4,Wednesday
22-10-2020,10,2020,Q4,Thursday
23-10-2020,10,2020,Q4,Friday
24-10-2020,10,2020,Q4,Saturday
25-10-2020,10,2020,Q4,Sunday
